tiempo_serial,tiempo_paralelo
0.150361,0.03538
0.112589,0.0274203
0.111716,0.0351371
0.115443,0.0328801
0.132432,0.0310849
0.122211,0.0313232
0.11354,0.0409029
0.115647,0.0414705
0.113536,0.0375932
0.116591,0.0296139
0.117661,0.0382186
0.129963,0.0484095
0.158904,0.035968
0.133097,0.0398702
0.125476,0.0355238
0.135731,0.0624536
0.120005,0.0475427
0.167794,0.0382487
0.14186,0.0291039
0.115564,0.0381088
0.137099,0.0818257
0.186602,0.0555369
0.176008,0.0457855
0.14001,0.0734081
0.265061,0.0806455
0.302256,0.0821608
0.305686,0.147422
0.288149,0.0808522
0.233854,0.0667933
0.269419,0.0659761
